id,name,issued_by,is_certificate
dc9c2fb3-65dd-4b84-8108-b1493752770d,Certified Information Systems Security Professional,"Roberts, Simpson and Wilson",True
ce01a428-46b0-487f-82ef-946bdbaed100,Project Management Professional,Jones-Bush,True
a3ab52cb-6242-474c-a2af-e90f8be1f571,Certified Ethical Hacker,Medina-Davis,True
d7667002-ae7c-443d-9036-ed7527c3069c,Microsoft Certified: Azure Developer Associate,Alvarado-Swanson,True
ee3d03ef-3906-4466-8f90-071793243482,Certified Ethical Hacker,Cunningham-Johnson,True
3d1721eb-8a45-4ab5-ac81-c90e3ab4a2b3,Microsoft Certified: Azure Developer Associate,"Parker, Hernandez and Vang",True
6de4aa82-4eb8-4e03-ade7-c94c81a9dd2a,Certified Ethical Hacker,Johns-Rios,True
73c9525e-3875-49d3-a70f-edbb7baf62ed,Certified Ethical Hacker,Johnson-Clarke,True
10d33940-1ce3-43e6-9640-488f197bb788,CompTIA Security+,Barnes and Sons,True
ace897ff-4093-45bc-8e84-4c4c404453dd,Certified Data Management Professional,Hoffman-Velazquez,True
9f2d57d8-acad-40d2-8dea-d0435c89f2e9,Certified Information Systems Security Professional,Barry-Roach,True
8f71ab8a-1f2f-4b24-8767-8c0911d87c42,Microsoft Certified: Azure Developer Associate,Conway LLC,True
2716ef81-dd06-4ad6-b396-b65da4f77496,Certified Ethical Hacker,"Chang, Diaz and Warner",True
b50815ff-ca40-4332-b8f0-f95b55ccdf59,Certified Data Management Professional,Martinez-Lopez,True
d372f1cf-1e62-4bc0-826d-0ef323d05656,AWS Certified Solutions Architect,Mullen and Sons,True
02f0f0c2-043a-4227-ade1-8fc82cedc6fa,Cisco Certified Network Associate,Barnes-Lawrence,True
ce08b0a9-b2d5-433a-b982-5caf50c1b63a,CompTIA Security+,"Barnett, Walsh and Hughes",True
91aff9c7-18bb-4cff-a6cb-f17307827d50,Certified ScrumMaster,Tucker Ltd,True
d142e539-6981-49d6-959a-63bc12619fcd,AWS Certified Solutions Architect,"Atkinson, Moore and Garza",True
5eac9b64-cf4e-4103-afdb-56f89bb97f05,Certified Information Systems Security Professional,"Perkins, Garza and Santiago",True
107d7c9d-b113-40f9-8359-eb24dcc84767,Microsoft Certified: Azure Developer Associate,"Dominguez, Haynes and Powell",True
0e55cdd9-f7ce-435b-92cd-2641da7e2ace,Project Management Professional,Andrade-Roberts,True
7a45fdff-a600-44be-9fb5-77661ca48ded,Certified Data Management Professional,"Gomez, Moon and Torres",True
2b8e8f97-5616-4122-a62e-facf7b84f3e2,Certified ScrumMaster,Hernandez-Gomez,True
63049a2f-ce20-41b3-9e76-98db0a4dcfbb,Certified Data Management Professional,"Grant, Thompson and Gillespie",True
60d35283-aeee-4ed9-98a1-1327b62cb1f5,AWS Certified Solutions Architect,"Lopez, Thompson and Brown",True
c1de518d-16f0-483a-9ce5-d6d0958258b8,Cisco Certified Network Associate,Murphy Inc,True
f026ea3b-6aef-4873-9b7f-52a0b845229f,CompTIA Security+,Jennings PLC,True
f5d7ef0f-090e-4aee-af3c-88e717732161,Project Management Professional,Harvey-Wood,True
0fad405b-f8b2-46ff-8f8e-ad5568c9997d,Project Management Professional,Foley Ltd,True
6ec4fd70-91d7-4b68-97e9-0104fcc38a8d,Microsoft Certified: Azure Developer Associate,"Macdonald, Davis and Odom",True
ff03663e-acbe-44df-ab76-2f4471a691c3,Certified ScrumMaster,Mullins LLC,True
b6962d62-52a7-45e2-888a-0551625e85a9,AWS Certified Solutions Architect,"Moore, Armstrong and Baker",True
1f76c976-a884-4a81-8dcb-968b86cb4c71,Certified ScrumMaster,Smith LLC,True
360f8910-ed3d-4e5a-be07-03a13f9293d5,Microsoft Certified: Azure Developer Associate,Simon and Sons,True
c2935051-5f44-4394-9c9a-96dcb2cdd50c,Certified ScrumMaster,Wood and Sons,True
d42a2e3e-596c-47b1-9c74-1656f7a5c4eb,Certified Information Systems Security Professional,Livingston-Huang,True
6db14a7f-44aa-48c5-b805-0eb0cdd9d3c6,CompTIA Security+,Park PLC,True
9bfc7950-9f07-4687-9fcc-eb1b3488a49f,CompTIA Security+,"Franco, Evans and Brooks",True
7c290975-6347-4677-bfb3-439adac4bf4c,Certified ScrumMaster,Walters PLC,True
3fa24001-e68d-484a-823f-af6d6253373c,Cisco Certified Network Associate,"King, Cortez and Ball",True
b0f61480-c986-4d8b-83af-72f1d9d57d1b,CompTIA Security+,Wells-Salinas,True
0fc99a75-1d05-417b-beb1-83bc99778a7f,Certified ScrumMaster,"Chavez, Brooks and Wade",True
56b6ea85-83f0-4f91-8321-ce55fa7b307c,Certified Data Management Professional,Sanders-Wilson,True
eb496fc0-901c-46e2-99bb-cad10a7c5baa,Google Data Analytics Professional Certificate,"Bruce, Padilla and Jordan",True
3bbb3d1f-0388-4a93-a3ad-d8ebea83d479,Microsoft Certified: Azure Developer Associate,Howell-Adkins,True
b3afb65f-7f78-4b66-a0e7-c1c48c758de3,Certified ScrumMaster,"Thomas, Wilson and Martinez",True
1e56b14a-aa3f-4dc6-ab9e-547c261a7b59,Certified Data Management Professional,"Russell, Soto and Carter",True
fe88b6b1-4cfa-4557-8410-9fb3a6695f29,Certified Ethical Hacker,Holden-Pope,True
17cd317a-a064-414e-8167-bf5137d039cf,Certified Data Management Professional,Brown-Erickson,True
a1a0bbfa-451a-4e19-b826-37571fe76605,Google Data Analytics Professional Certificate,Alexander-Houston,True
723751e5-04c0-4c57-8db8-c94f6d4895ca,Microsoft Certified: Azure Developer Associate,"Barajas, Perez and Green",True
adcfebdc-e4f2-46b5-90c1-af9adb3c77c6,AWS Certified Solutions Architect,"Fleming, Lawson and Hines",True
25081bd6-e960-4a31-9c09-c90272a38693,Certified Information Systems Security Professional,Rivera-Jones,True
74c72392-e203-4001-97a7-bbe6a80edf2a,Certified Ethical Hacker,Clark-Warren,True
2db11314-c52f-49d3-a6ca-f1caa96cadc1,Certified Ethical Hacker,"Perez, Rhodes and Hinton",True
e0a79455-2775-4f0a-b8c8-d5729fc4e970,Google Data Analytics Professional Certificate,Moran-Jimenez,True
fd8c4a20-7c8b-439a-8fe6-c1ab7dd86e67,Certified Ethical Hacker,"Miller, Martinez and Esparza",True
4157e5d3-dba3-466f-9fbc-431ffc40d741,Cisco Certified Network Associate,Terry-Mclaughlin,True
b1bc87ae-446a-4c66-93fd-d11b872d852d,Certified Information Systems Security Professional,Murphy Inc,True
a28943ac-5898-481b-afb7-8446eb3db5c5,Project Management Professional,Blake-Thomas,True
8424e6f6-d848-4e56-8eee-0c2c534af642,Google Data Analytics Professional Certificate,Bates-Hanson,True
